"File","Name","Imports","Lines"
"src\presentation\pages\Tenders\TenderPricing\components\PricingActions.tsx","PricingActions.tsx","0","127"
"src\presentation\pages\Tenders\TenderPricing\components\TemplateManagerDialog.tsx","TemplateManagerDialog.tsx","0","59"
"src\presentation\pages\Tenders\TenderPricing\components\RestoreBackupDialog.tsx","RestoreBackupDialog.tsx","0","101"
"src\presentation\pages\Clients\ClientsPage.tsx","ClientsPage.tsx","0","530"
"src\presentation\components\ui\tabs-enhanced.tsx","tabs-enhanced.tsx","0","328"
"src\presentation\components\ui\table.stories.tsx","table.stories.tsx","0","1003"
"src\presentation\components\ui\tabs.stories.tsx","tabs.stories.tsx","0","957"
"src\presentation\components\ui\use-mobile.ts","use-mobile.ts","0","19"
"src\presentation\components\ui\textarea.stories.tsx","textarea.stories.tsx","0","404"
"src\application\hooks\useFinancialCalculations.ts","useFinancialCalculations.ts","0","403"
"src\application\hooks\useProjectNavigation.ts","useProjectNavigation.ts","0","98"
"src\application\hooks\useProjectBudget.ts","useProjectBudget.ts","0","138"
"src\application\hooks\ui\useExpandableState.ts","useExpandableState.ts","0","114"
"src\application\hooks\useUndoStack.ts","useUndoStack.ts","0","25"
"src\application\hooks\useProjectStats.ts","useProjectStats.ts","0","56"
"src\application\hooks\useCentralData.ts","useCentralData.ts","0","18"
"src\application\hooks\useTenderStatusManagement.ts","useTenderStatusManagement.ts","0","470"
"src\application\hooks\useTenderBOQ.ts","useTenderBOQ.ts","0","442"
"src\application\hooks\useProjectStatus.ts","useProjectStatus.ts","0","241"
"src\application\hooks\useProjectTimeline.ts","useProjectTimeline.ts","0","235"
"src\analytics\pricingAnalytics.ts","pricingAnalytics.ts","0","119"
"src\application\hooks\useProjectBOQ.ts","useProjectBOQ.ts","0","112"
"src\application\hooks\cost\useBreakdownCalculations.ts","useBreakdownCalculations.ts","0","145"
"src\application\context\ThemeSwitcher.stories.tsx","ThemeSwitcher.stories.tsx","0","159"
"src\application\hooks\cost\useCostItemActions.ts","useCostItemActions.ts","0","182"
"src\presentation\components\cost\SimplifiedProjectCostView.tsx","SimplifiedProjectCostView.tsx","1","600"
"src\presentation\pages\Projects\components\tabs\ProjectBudgetTab.tsx","ProjectBudgetTab.tsx","1","235"
"src\presentation\pages\Projects\components\tabs\ProjectAttachmentsTab.tsx","ProjectAttachmentsTab.tsx","1","88"
"src\presentation\components\charts\LazyCharts.tsx","LazyCharts.tsx","1","151"
"src\presentation\pages\Projects\components\cost\SimplifiedProjectCostView.tsx","SimplifiedProjectCostView.tsx","1","19"
"src\presentation\pages\Financial\components\BankStatementAnalyzer.tsx","BankStatementAnalyzer.tsx","1","598"
"src\presentation\components\analytics\CompetitiveAnalyticsBoard.tsx","CompetitiveAnalyticsBoard.tsx","1","321"
"src\presentation\pages\Financial\components\NewBudget.tsx","NewBudget.tsx","1","504"
"src\presentation\pages\Projects\components\tabs\ProjectOverviewTab.tsx","ProjectOverviewTab.tsx","1","123"
"src\presentation\components\analytics\PredictiveAnalytics.tsx","PredictiveAnalytics.tsx","1","973"
"src\presentation\pages\Projects\components\tabs\ProjectCostsTab.tsx","ProjectCostsTab.tsx","1","75"
"src\presentation\pages\Financial\components\FinancialSummaryCard.tsx","FinancialSummaryCard.tsx","1","280"
"src\presentation\components\competitive\CompetitorTracker.tsx","CompetitorTracker.tsx","1","894"
"src\presentation\components\cost\CostPercentagesPanel.tsx","CostPercentagesPanel.tsx","1","119"
"src\presentation\components\competitive\CompetitiveBenchmark.tsx","CompetitiveBenchmark.tsx","1","621"
"src\presentation\components\cost\CostBaselineTotals.tsx","CostBaselineTotals.tsx","1","63"
"src\presentation\components\cost\CostItemBreakdown.tsx","CostItemBreakdown.tsx","1","183"
"src\presentation\pages\Financial\components\NewBankAccount.tsx","NewBankAccount.tsx","1","356"
"src\presentation\pages\Financial\FinancialPage.tsx","FinancialPage.tsx","1","2057"
"src\presentation\components\competitive\SWOTAnalysis.tsx","SWOTAnalysis.tsx","1","787"
"src\presentation\pages\Financial\components\ExpenseManagement.tsx","ExpenseManagement.tsx","1","1490"
"src\presentation\components\competitive\MarketMonitor.tsx","MarketMonitor.tsx","1","731"
"src\presentation\pages\Financial\components\NewInvoice.tsx","NewInvoice.tsx","1","453"
"src\presentation\components\command-palette\useCommandPalette.ts","useCommandPalette.ts","1","141"
"src\presentation\pages\Projects\components\tabs\ProjectPurchasesTab.tsx","ProjectPurchasesTab.tsx","1","56"
"src\presentation\pages\Tenders\components\TendersPagination.tsx","TendersPagination.tsx","1","100"
"src\presentation\pages\Tenders\components\TenderStatusCards.tsx","TenderStatusCards.tsx","1","452"
"src\presentation\pages\Tenders\TenderPricing\components\PricingHeader.tsx","PricingHeader.tsx","1","190"
"src\presentation\pages\Tenders\components\TechnicalFilesUpload.tsx","TechnicalFilesUpload.tsx","1","406"
"src\presentation\pages\Tenders\components\TenderQuickResults.tsx","TenderQuickResults.tsx","1","344"
"src\presentation\pages\Tenders\components\TendersHeaderSection.tsx","TendersHeaderSection.tsx","1","139"
"src\infrastructure\repositories\TenderPricingRepository.ts","TenderPricingRepository.ts","1","90"
"src\presentation\pages\Tenders\TenderPricing\hooks\usePricingForm.ts","usePricingForm.ts","1","174"
"src\domain\validation\schemas.ts","schemas.ts","1","252"
"src\presentation\components\tenders\TenderDetails\components\TenderHeader.tsx","TenderHeader.tsx","1","71"
"src\presentation\pages\Tenders\TenderPricing\hooks\useItemNavigation.ts","useItemNavigation.ts","1","385"
"src\presentation\pages\Tenders\TenderPricing\hooks\usePricingEventHandlers.ts","usePricingEventHandlers.ts","1","146"
"src\features\projects\ProjectsContainer.tsx","ProjectsContainer.tsx","1","64"
"src\presentation\pages\Tenders\components\SubmitReviewDialog.tsx","SubmitReviewDialog.tsx","1","230"
"src\presentation\components\analytics\AnalyticsContext.tsx","AnalyticsContext.tsx","1","389"
"src\presentation\components\analytics\AnalyticsCharts.tsx","AnalyticsCharts.tsx","1","531"
"src\presentation\pages\Projects\components\NewClientDialog.tsx","NewClientDialog.tsx","1","24"
"src\presentation\components\analytics\AnalyticsOverview.tsx","AnalyticsOverview.tsx","1","402"
"src\presentation\pages\Projects\components\tabs\ProjectTimelineTab.tsx","ProjectTimelineTab.tsx","1","55"
"src\presentation\pages\Projects\components\EnhancedProjectDetails.tsx","EnhancedProjectDetails.tsx","1","656"
"src\presentation\pages\Projects\components\NewProjectForm.tsx","NewProjectForm.tsx","1","779"
"src\presentation\pages\Settings\components\BankStatementAnalyzer.tsx","BankStatementAnalyzer.tsx","1","36"
"src\presentation\pages\Settings\SettingsPage.tsx","SettingsPage.tsx","1","1562"
"src\presentation\pages\Tenders\components\NewTenderForm.tsx","NewTenderForm.tsx","1","260"
"src\application\hooks\useAuditLog.ts","useAuditLog.ts","1","39"
"src\presentation\pages\Reports\components\NewReport.tsx","NewReport.tsx","1","450"
"src\presentation\pages\Reports\ReportsPage.tsx","ReportsPage.tsx","1","643"
"src\presentation\pages\Development\DevelopmentPage.tsx","DevelopmentPage.tsx","1","964"
"src\presentation\components\tenders\TenderTabs.tsx","TenderTabs.tsx","1","58"
"src\presentation\components\projects\GanttChart.tsx","GanttChart.tsx","1","477"
"src\presentation\components\tenders\VirtualizedTenderList.tsx","VirtualizedTenderList.tsx","1","176"
"src\application\hooks\useProjectCurrencyFormatter.ts","useProjectCurrencyFormatter.ts","1","37"
"src\presentation\components\projects\ProjectsManager.tsx","ProjectsManager.tsx","1","54"
"src\presentation\components\tenders\TenderDialogs.tsx","TenderDialogs.tsx","1","110"
"src\presentation\components\procurement\ProcurementIntegration.tsx","ProcurementIntegration.tsx","1","562"
"src\presentation\components\ui\back-to-top.tsx","back-to-top.tsx","1","33"
